Predictive Coding Final Training Log
Hyperparameters: epochs=50, batch_size=512, lr=0.0041
================================================================================
Epoch 001/50 | Train Energy: 0.1437 | Train Loss (BCE): 0.7747 | Train Acc: 0.4558 | Val Acc: 0.4682
Epoch 002/50 | Train Energy: 0.1385 | Train Loss (BCE): 0.7525 | Train Acc: 0.4710 | Val Acc: 0.4819
Epoch 003/50 | Train Energy: 0.1340 | Train Loss (BCE): 0.7332 | Train Acc: 0.4896 | Val Acc: 0.4994
Epoch 004/50 | Train Energy: 0.1300 | Train Loss (BCE): 0.7170 | Train Acc: 0.5089 | Val Acc: 0.5185
Epoch 005/50 | Train Energy: 0.1264 | Train Loss (BCE): 0.7034 | Train Acc: 0.5285 | Val Acc: 0.5390
Epoch 006/50 | Train Energy: 0.1236 | Train Loss (BCE): 0.6921 | Train Acc: 0.5459 | Val Acc: 0.5535
Epoch 007/50 | Train Energy: 0.1212 | Train Loss (BCE): 0.6827 | Train Acc: 0.5620 | Val Acc: 0.5646
Epoch 008/50 | Train Energy: 0.1193 | Train Loss (BCE): 0.6748 | Train Acc: 0.5750 | Val Acc: 0.5718
Epoch 009/50 | Train Energy: 0.1175 | Train Loss (BCE): 0.6683 | Train Acc: 0.5864 | Val Acc: 0.5752
Epoch 010/50 | Train Energy: 0.1162 | Train Loss (BCE): 0.6627 | Train Acc: 0.5955 | Val Acc: 0.5859
Epoch 011/50 | Train Energy: 0.1150 | Train Loss (BCE): 0.6580 | Train Acc: 0.6022 | Val Acc: 0.5901
Epoch 012/50 | Train Energy: 0.1140 | Train Loss (BCE): 0.6540 | Train Acc: 0.6082 | Val Acc: 0.5947
Epoch 013/50 | Train Energy: 0.1131 | Train Loss (BCE): 0.6505 | Train Acc: 0.6132 | Val Acc: 0.6015
Epoch 014/50 | Train Energy: 0.1125 | Train Loss (BCE): 0.6475 | Train Acc: 0.6171 | Val Acc: 0.6050
Epoch 015/50 | Train Energy: 0.1118 | Train Loss (BCE): 0.6449 | Train Acc: 0.6213 | Val Acc: 0.6061
Epoch 016/50 | Train Energy: 0.1112 | Train Loss (BCE): 0.6426 | Train Acc: 0.6238 | Val Acc: 0.6076
Epoch 017/50 | Train Energy: 0.1107 | Train Loss (BCE): 0.6405 | Train Acc: 0.6266 | Val Acc: 0.6110
Epoch 018/50 | Train Energy: 0.1104 | Train Loss (BCE): 0.6387 | Train Acc: 0.6291 | Val Acc: 0.6145
Epoch 019/50 | Train Energy: 0.1099 | Train Loss (BCE): 0.6372 | Train Acc: 0.6312 | Val Acc: 0.6152
Epoch 020/50 | Train Energy: 0.1096 | Train Loss (BCE): 0.6357 | Train Acc: 0.6327 | Val Acc: 0.6168
Epoch 021/50 | Train Energy: 0.1093 | Train Loss (BCE): 0.6345 | Train Acc: 0.6345 | Val Acc: 0.6213
Epoch 022/50 | Train Energy: 0.1090 | Train Loss (BCE): 0.6333 | Train Acc: 0.6357 | Val Acc: 0.6232
Epoch 023/50 | Train Energy: 0.1090 | Train Loss (BCE): 0.6323 | Train Acc: 0.6370 | Val Acc: 0.6236
Epoch 024/50 | Train Energy: 0.1087 | Train Loss (BCE): 0.6313 | Train Acc: 0.6384 | Val Acc: 0.6244
Epoch 025/50 | Train Energy: 0.1085 | Train Loss (BCE): 0.6305 | Train Acc: 0.6389 | Val Acc: 0.6248
Epoch 026/50 | Train Energy: 0.1083 | Train Loss (BCE): 0.6297 | Train Acc: 0.6396 | Val Acc: 0.6267
