Phase,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,MCC,Brier-Score
Fold 1 (Train 40% -> Val 10%),0.6299725651577504,0.6337535014005602,0.6194387405886379,0.6265143648321219,0.6933790582640049,0.6856440155237339,0.2600430723816708,0.2663119174935188
Fold 2 (Train 50% -> Val 10%),0.6406035665294925,0.6166892808683854,0.6530172413793104,0.6343335659455688,0.698323943343289,0.6764650306254967,0.28200994748218994,0.2602081398747571
Fold 3 (Train 60% -> Val 10%),0.6251714677640604,0.639202657807309,0.6362433862433863,0.637719588995691,0.6835840342784787,0.6949183385561835,0.24944971418904588,0.26577306580559135
Fold 4 (Train 70% -> Val 10%),0.6536351165980796,0.6592890677397719,0.661952861952862,0.6606182795698925,0.7216069382386643,0.7298694348960839,0.3069823598977101,0.24363909287868157
Fold 5 (Train 80% -> Val 10%),0.6385459533607681,0.630568882796436,0.6411149825783972,0.635798203178991,0.698340654092371,0.684530360320226,0.27713727672594696,0.2596643737888863
FINAL TEST (Train 90% -> Test Final 10%),0.6449623029472241,0.6483516483516484,0.6430517711171662,0.6456908344733242,0.7059128065395095,0.7092835633138228,0.2899434192075417,0.2531930641976924
