Predictive Coding Final Training Log
Hyperparameters: epochs=50, batch_size=256, lr=0.0003
================================================================================
Epoch 001/50 | Train Energy: 0.1332 | Train Loss (BCE): 0.8312 | Train Acc: 0.4222 | Val Acc: 0.4434
Epoch 002/50 | Train Energy: 0.1310 | Train Loss (BCE): 0.8204 | Train Acc: 0.4271 | Val Acc: 0.4503
Epoch 003/50 | Train Energy: 0.1290 | Train Loss (BCE): 0.8101 | Train Acc: 0.4326 | Val Acc: 0.4552
Epoch 004/50 | Train Energy: 0.1270 | Train Loss (BCE): 0.8002 | Train Acc: 0.4383 | Val Acc: 0.4594
Epoch 005/50 | Train Energy: 0.1250 | Train Loss (BCE): 0.7909 | Train Acc: 0.4451 | Val Acc: 0.4659
Epoch 006/50 | Train Energy: 0.1232 | Train Loss (BCE): 0.7819 | Train Acc: 0.4507 | Val Acc: 0.4731
Epoch 007/50 | Train Energy: 0.1214 | Train Loss (BCE): 0.7734 | Train Acc: 0.4576 | Val Acc: 0.4808
Epoch 008/50 | Train Energy: 0.1197 | Train Loss (BCE): 0.7654 | Train Acc: 0.4645 | Val Acc: 0.4910
Epoch 009/50 | Train Energy: 0.1181 | Train Loss (BCE): 0.7577 | Train Acc: 0.4714 | Val Acc: 0.5002
Epoch 010/50 | Train Energy: 0.1166 | Train Loss (BCE): 0.7505 | Train Acc: 0.4786 | Val Acc: 0.5070
Epoch 011/50 | Train Energy: 0.1152 | Train Loss (BCE): 0.7437 | Train Acc: 0.4857 | Val Acc: 0.5112
Epoch 012/50 | Train Energy: 0.1138 | Train Loss (BCE): 0.7373 | Train Acc: 0.4934 | Val Acc: 0.5112
Epoch 013/50 | Train Energy: 0.1126 | Train Loss (BCE): 0.7313 | Train Acc: 0.5014 | Val Acc: 0.5173
Epoch 014/50 | Train Energy: 0.1114 | Train Loss (BCE): 0.7256 | Train Acc: 0.5098 | Val Acc: 0.5185
Epoch 015/50 | Train Energy: 0.1103 | Train Loss (BCE): 0.7203 | Train Acc: 0.5173 | Val Acc: 0.5250
Epoch 016/50 | Train Energy: 0.1092 | Train Loss (BCE): 0.7153 | Train Acc: 0.5243 | Val Acc: 0.5310
Epoch 017/50 | Train Energy: 0.1083 | Train Loss (BCE): 0.7106 | Train Acc: 0.5310 | Val Acc: 0.5330
Epoch 018/50 | Train Energy: 0.1073 | Train Loss (BCE): 0.7061 | Train Acc: 0.5374 | Val Acc: 0.5410
Epoch 019/50 | Train Energy: 0.1065 | Train Loss (BCE): 0.7020 | Train Acc: 0.5438 | Val Acc: 0.5440
Epoch 020/50 | Train Energy: 0.1057 | Train Loss (BCE): 0.6981 | Train Acc: 0.5493 | Val Acc: 0.5486
Epoch 021/50 | Train Energy: 0.1049 | Train Loss (BCE): 0.6944 | Train Acc: 0.5555 | Val Acc: 0.5539
Epoch 022/50 | Train Energy: 0.1042 | Train Loss (BCE): 0.6909 | Train Acc: 0.5610 | Val Acc: 0.5566
Epoch 023/50 | Train Energy: 0.1036 | Train Loss (BCE): 0.6877 | Train Acc: 0.5662 | Val Acc: 0.5615
Epoch 024/50 | Train Energy: 0.1030 | Train Loss (BCE): 0.6846 | Train Acc: 0.5706 | Val Acc: 0.5695
