Predictive Coding Final Training Log
Hyperparameters: epochs=100, batch_size=64, lr=0.0129
================================================================================
Epoch 049/100 | Train Energy: 0.0296 | Train Loss (BCE): 0.6534 | Train Acc: 0.6370 | Val Acc: 0.6468
Epoch 050/100 | Train Energy: 0.0291 | Train Loss (BCE): 0.6553 | Train Acc: 0.6333 | Val Acc: 0.6438
Epoch 051/100 | Train Energy: 0.0285 | Train Loss (BCE): 0.6573 | Train Acc: 0.6299 | Val Acc: 0.6369
Epoch 052/100 | Train Energy: 0.0278 | Train Loss (BCE): 0.6561 | Train Acc: 0.6378 | Val Acc: 0.6438
Epoch 053/100 | Train Energy: 0.0274 | Train Loss (BCE): 0.6572 | Train Acc: 0.6361 | Val Acc: 0.6399
Epoch 054/100 | Train Energy: 0.0270 | Train Loss (BCE): 0.6584 | Train Acc: 0.6331 | Val Acc: 0.6438
Epoch 055/100 | Train Energy: 0.0264 | Train Loss (BCE): 0.6592 | Train Acc: 0.6332 | Val Acc: 0.6404
Epoch 056/100 | Train Energy: 0.0259 | Train Loss (BCE): 0.6594 | Train Acc: 0.6377 | Val Acc: 0.6438
Epoch 057/100 | Train Energy: 0.0256 | Train Loss (BCE): 0.6600 | Train Acc: 0.6375 | Val Acc: 0.6438
Epoch 058/100 | Train Energy: 0.0252 | Train Loss (BCE): 0.6608 | Train Acc: 0.6352 | Val Acc: 0.6408
Epoch 059/100 | Train Energy: 0.0248 | Train Loss (BCE): 0.6616 | Train Acc: 0.6340 | Val Acc: 0.6382
Epoch 060/100 | Train Energy: 0.0244 | Train Loss (BCE): 0.6622 | Train Acc: 0.6344 | Val Acc: 0.6365
Epoch 061/100 | Train Energy: 0.0241 | Train Loss (BCE): 0.6635 | Train Acc: 0.6329 | Val Acc: 0.6387
Epoch 062/100 | Train Energy: 0.0237 | Train Loss (BCE): 0.6637 | Train Acc: 0.6340 | Val Acc: 0.6421
Epoch 063/100 | Train Energy: 0.0234 | Train Loss (BCE): 0.6659 | Train Acc: 0.6286 | Val Acc: 0.6365
Epoch 064/100 | Train Energy: 0.0230 | Train Loss (BCE): 0.6649 | Train Acc: 0.6338 | Val Acc: 0.6404
Epoch 065/100 | Train Energy: 0.0228 | Train Loss (BCE): 0.6649 | Train Acc: 0.6366 | Val Acc: 0.6438
Epoch 066/100 | Train Energy: 0.0225 | Train Loss (BCE): 0.6654 | Train Acc: 0.6352 | Val Acc: 0.6387
Epoch 067/100 | Train Energy: 0.0223 | Train Loss (BCE): 0.6658 | Train Acc: 0.6360 | Val Acc: 0.6374
Epoch 068/100 | Train Energy: 0.0219 | Train Loss (BCE): 0.6663 | Train Acc: 0.6373 | Val Acc: 0.6425
Epoch 069/100 | Train Energy: 0.0218 | Train Loss (BCE): 0.6672 | Train Acc: 0.6373 | Val Acc: 0.6387
Epoch 070/100 | Train Energy: 0.0214 | Train Loss (BCE): 0.6676 | Train Acc: 0.6378 | Val Acc: 0.6395
Epoch 071/100 | Train Energy: 0.0215 | Train Loss (BCE): 0.6689 | Train Acc: 0.6312 | Val Acc: 0.6335
Epoch 072/100 | Train Energy: 0.0211 | Train Loss (BCE): 0.6680 | Train Acc: 0.6358 | Val Acc: 0.6391
Epoch 073/100 | Train Energy: 0.0207 | Train Loss (BCE): 0.6685 | Train Acc: 0.6339 | Val Acc: 0.6357
Epoch 074/100 | Train Energy: 0.0205 | Train Loss (BCE): 0.6689 | Train Acc: 0.6348 | Val Acc: 0.6361
Epoch 075/100 | Train Energy: 0.0203 | Train Loss (BCE): 0.6691 | Train Acc: 0.6377 | Val Acc: 0.6425
Epoch 076/100 | Train Energy: 0.0203 | Train Loss (BCE): 0.6696 | Train Acc: 0.6359 | Val Acc: 0.6382
