Phase,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,MCC,Brier-Score
Fold 1 (Train 40% -> Val 10%),0.6433470507544582,0.6464857341684064,0.6358658453114305,0.6411318150448585,0.702430901021049,0.6905258045147785,0.2867540906787194,0.21883330317956812
Fold 2 (Train 50% -> Val 10%),0.651920438957476,0.6283185840707964,0.6630747126436781,0.6452289409297448,0.7120695311792922,0.6918538106192386,0.3045032053903095,0.2150936586762716
Fold 3 (Train 60% -> Val 10%),0.6340877914951989,0.6476443264764432,0.6455026455026455,0.6465717124875787,0.7030098245376023,0.7138722893313548,0.2672651001909464,0.21763846830093755
Fold 4 (Train 70% -> Val 10%),0.6570644718792867,0.6637407157326131,0.661952861952862,0.6628455832771409,0.7333220394017039,0.7431049835619624,0.3139297036369978,0.20842143714357578
Fold 5 (Train 80% -> Val 10%),0.6436899862825789,0.6339648173207036,0.6529616724738676,0.6433230346721592,0.7081969758638457,0.6949543106970613,0.28765922180922965,0.21697696237666486
FINAL TEST (Train 90% -> Test Final 10%),0.6504455106237149,0.6513513513513514,0.6566757493188011,0.6540027137042063,0.7134177393592033,0.7176417243520029,0.3008391211742846,0.21466572386008417
