target,elo_diff,elo_hard_diff,rank_diff,rank_points_diff,elo_clay_diff,elo_grass_diff,age_diff,height_diff
0,344.75862283278593,330.92884800930096,-36.0,4725.0,152.61566701785932,349.06825618501557,-3.599999999999998,1.0
1,188.56785594676217,210.31340831081866,-40.0,429.0,29.97623017139199,124.96453680332093,-2.1999999999999993,-8.0
0,-130.79292942273446,-106.48192343140113,35.0,-570.0,-181.17175226322684,-47.92219658251338,5.199999999999999,-11.0
0,-7.794743049579665,-23.908540128568575,198.0,-440.0,135.62398406867737,74.64253292515014,0.5999999999999979,-5.0
1,14.37245209787784,48.21748137903751,-4.0,16.0,19.291236220440396,-23.581426398501662,-3.6999999999999957,5.0
0,191.031087250572,102.5067122025323,-38.0,211.0,90.86463521914584,62.72141220176286,3.099999999999998,13.0
1,211.9448458897948,225.78123983267665,-48.0,1420.0,155.37647137905992,161.94430976067747,-1.6999999999999993,28.0
1,-185.78757371004235,-181.71744674962156,51.0,-188.0,-26.2641475538162,-123.82648832409018,-4.5,5.0
1,-50.59014717324226,-22.628759389674997,14.0,-201.0,-47.03491278665797,99.95213562884578,3.8000000000000007,-3.0
1,-46.87747991432025,74.35095886991621,9.0,-63.0,-66.58106544225802,-40.780400521667616,-7.0,13.0
1,-162.83217884156898,19.54819258291127,42.0,-263.0,-224.75909990243827,-101.61357079542131,1.1999999999999993,-10.0
1,175.78344688891616,145.47908777957628,-7.0,30.0,-31.432303011258,157.52873537036726,-2.6999999999999993,-2.0
1,47.4319678047209,54.03762317685346,-7.0,33.0,-52.73253741480585,-24.389442275576812,4.0,-11.0
1,50.99155107875799,66.19712219078792,29.0,-147.0,83.44049123761147,-50.95850307164255,-4.300000000000001,11.0
1,-274.1169057171853,-205.95930906505896,88.0,-1890.0,-165.71611123161506,-253.22432238069155,-14.500000000000004,3.0
1,93.63933311073583,3.486801218956998,-10.0,73.0,42.167999423961646,43.319387507048305,4.399999999999999,0.0
1,414.24648826273915,337.92054972483925,-93.0,5237.0,539.1827889437423,289.2272381640071,7.300000000000001,-8.0
0,-54.43039032498746,-15.328598916670444,27.0,-135.0,40.28047194860983,-86.1567238077098,-4.5,8.0
0,-88.69725152804517,-122.70974869178531,8.0,-625.0,74.36017511249497,16.002769014917476,1.5999999999999979,-30.0
1,149.30884813733815,79.7151125987125,-98.0,403.0,1.5166507895280574,105.1661533275651,6.300000000000001,-8.0
1,244.56633333151376,296.55765016776013,-55.0,5024.0,342.15899807488404,165.0335782248901,1.1999999999999993,-13.0
1,-277.0617163265906,-271.29289337410364,59.0,-5070.0,-479.0764274641697,-186.8002289028757,-1.3999999999999986,5.0
1,278.8571916281969,233.3645578441883,-76.0,1555.0,226.23520799122502,220.8044720098526,2.5,23.0
1,243.29005304819066,226.05677845496848,-44.0,815.0,162.12765326846693,243.53794251640716,1.5999999999999979,-10.0
1,-241.7354936057095,-192.36848324150696,140.0,-1358.0,-164.02276056192954,-100.71867043287511,-3.6000000000000014,-15.0
1,-9.560466836345995,-11.314630420940375,45.0,-620.0,-125.76886146548804,49.02453957671992,1.0999999999999979,-13.0
1,193.19356480785223,231.10510562094896,-59.0,1470.0,124.11219315640119,132.2991740131872,2.900000000000002,25.0
0,-185.15891771468023,-107.79042441677416,39.0,-786.0,-150.37947772390112,-153.92778342787346,-7.800000000000001,10.0
1,122.64482637909737,54.80248038941227,-33.0,162.0,-7.246642364601939,46.38522494332551,7.0,-3.0
